"id","name","latitude","longitude","price_level","rating","review_count","distance","neigh_id","neighbourhood","type","cuisine","size_level"
"K3V9JWBZgIMtSICc4kBRUA","Naan & Kabob",43.6690684857838,-79.3860201,"Medium",4,175,3920.33441767313,"167","Church-Wellesley","Other","South Asian","Single Location"
"S-jKUDEKOmaOpgdU32gNWA","Naan Kabob",43.6503555207276,-79.3906833186624,NA,5,6,2595.4042072468,"078","Kensington-Chinatown","Other","South Asian","Small Chain"
"GdCRQU3VCh_x8fY84mbwYQ","Bamiyan Kabob",43.70779,-79.34344,"Medium",4,166,9403.66232387503,"055","Thorncliffe Park","Other","South Asian","Small Chain"
"MvNRA9k-xF9ug5gXZexPog","Naan And Kabob",43.7049057279802,-79.3614039241258,NA,4,28,8222.20822850657,"056","Leaside-Bennington","Other","South Asian","Single Location"
"I6nkV6OY9UZtttZEefgydg","Kabob Guys",43.648153,-79.395679,NA,4.2,10,2154.48192776816,"164","Wellington Place","Other","South Asian","Single Location"
"oiocguLkMNwH6gux2wxMfQ","Shawarma House",43.64974,-79.36561,"Medium",3.4,16,4590.23380881523,"166","St Lawrence-East Bayfront-The Islands","Other","South Asian","Single Location"
"4QTwtaua8tjc-PuneLXJzw","Kabul Kabab House",43.6716309,-79.3256378,NA,3.8,6,8296.29783381216,"065","Greenwood-Coxwell","Other","South Asian","Single Location"
"8pJnxLwrosp1m-AkZs_V0Q","Mazadar",43.6664947885561,-79.3170488253236,NA,4.2,5,8778.43472213335,"065","Greenwood-Coxwell","Other","South Asian","Single Location"
"VtQIAj8eXvHqc_8MtMMGwg","Afghan Cuisine",43.70805,-79.34294,"Medium",3.7,69,9430.13626475276,"055","Thorncliffe Park","Other","South Asian","Single Location"
"5B_YKWtJthJqmD5MYw2maA","Hot Pot Cafe",43.6862154,-79.3112465,"Low",4,8,10010.6667027145,"062","East End-Danforth","Other","South Asian","Single Location"
"ytYP2UXkRow2L3emGp469w","Afghan Kebob Cuisine",43.7160486,-79.5556858,"Low",3.6,16,13295.5835386138,"004","Rexdale-Kipling","Other","South Asian","Single Location"
"sqj18NheItQq-PR9c4uM4g","Kandahar Kabab",43.7051458823459,-79.3486794388337,NA,2.7,44,8889.14633179435,"055","Thorncliffe Park","Other","South Asian","Single Location"
"jsMDbYZVaw9g0_FmsS17bA","Grill N Thrill Kabob",43.6617953687539,-79.3977532641196,NA,2.3,3,2678.00427264036,"079","University","Street Food","South Asian","Single Location"
"V-aweI6rrw8d6MfG1lAPjw","Little Kabul Kabob",43.7146088321063,-79.5687001462575,NA,4.1,9,14065.8443170417,"001","West Humber-Clairville","Other","South Asian","Single Location"
"SO967mepbkVeGtJ7pg7c1Q","Mumtaz Grill Restaurant",43.7460141,-79.48688,NA,3.9,8,12317.9411259143,"027","York University Heights","Other","South Asian","Single Location"
"yU4zevCwPAQIMb73smTHog","Bamiyan Kabob",43.77361,-79.4920999,"Medium",4.1,94,15297.9687394969,"027","York University Heights","Other","South Asian","Small Chain"
