"id","name","alias","categories","latitude","longitude","phone","price","rating","review_count","is_closed","address","distance","url"
"K3V9JWBZgIMtSICc4kBRUA","Naan & Kabob","naan-and-kabob-toronto-5","Afghan, Kebab",43.6690684857838,-79.3860201,"+1 416-972-6623","$$",4,175,FALSE,"691 Yonge Street",3920.33441767313,"https://www.yelp.com/biz/naan-and-kabob-toronto-5?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"cTSbGa6sPTknAZd6_G1N5A","Afghano Restaurant","afghano-restaurant-toronto","Afghan",43.6557152483362,-79.3646372965889,"+1 647-906-2269",NA,5,1,FALSE,"344 Queen Street E",4771.36556389641,"https://www.yelp.com/biz/afghano-restaurant-toronto?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"S-jKUDEKOmaOpgdU32gNWA","Naan Kabob","naan-kabob-toronto-3","Kebab, Afghan, Halal",43.6503555207276,-79.3906833186624,"+1 416-672-0358",NA,5,6,FALSE,"240 Queen Street W",2595.4042072468,"https://www.yelp.com/biz/naan-kabob-toronto-3?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"GdCRQU3VCh_x8fY84mbwYQ","Bamiyan Kabob","bamiyan-kabob-east-york","Afghan",43.70779,-79.34344,"+1 416-429-7514","$$",4,166,FALSE,"62 Overlea Boulevard",9403.66232387503,"https://www.yelp.com/biz/bamiyan-kabob-east-york?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"uvhc7DWuSy5BP6nOTM6Vyw","Diamond Kabab","diamond-kabab-toronto","Afghan",43.65707,-79.40597,"+1 416-551-9204",NA,5,2,FALSE,"398 College Street",1835.00967360438,"https://www.yelp.com/biz/diamond-kabab-toronto?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"MvNRA9k-xF9ug5gXZexPog","Naan And Kabob","naan-and-kabob-toronto-7","Afghan",43.7049057279802,-79.3614039241258,"+1 647-352-3544",NA,4,28,FALSE,"62 Laird Drive",8222.20822850657,"https://www.yelp.com/biz/naan-and-kabob-toronto-7?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"I6nkV6OY9UZtttZEefgydg","Kabob Guys","kabob-guys-toronto","Afghan, Halal, Kebab",43.648153,-79.395679,"+1 416-977-9868",NA,4.2,10,FALSE,"147 Spadina Avenue",2154.48192776816,"https://www.yelp.com/biz/kabob-guys-toronto?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"oiocguLkMNwH6gux2wxMfQ","Shawarma House","shawarma-house-toronto","Afghan",43.64974,-79.36561,"+1 647-341-2140","$$",3.4,16,FALSE,"222 The Esplanade",4590.23380881523,"https://www.yelp.com/biz/shawarma-house-toronto?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"4QTwtaua8tjc-PuneLXJzw","Kabul Kabab House","kabul-kabab-house-toronto","Halal, Afghan, Middle Eastern",43.6716309,-79.3256378,"+1 416-466-6000",NA,3.8,6,FALSE,"1324 E Gerrard Street",8296.29783381216,"https://www.yelp.com/biz/kabul-kabab-house-toronto?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"sXLTlGSaK1e1fna5e3V_Rw","Mazar's Kitchen","mazars-kitchen-toronto","Halal, Afghan, Vegan",43.6517657,-79.4049646,"+1 647-868-4290",NA,3,2,FALSE,"707 Dundas Street W",1555.27627049919,"https://www.yelp.com/biz/mazars-kitchen-toronto?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"ll5Y45ZeTYjuCyQ7FwbT2g","Bread & Salt Afghan Cuisine","bread-and-salt-afghan-cuisine-mississauga","Afghan",43.61159,-79.58036,"+1 905-277-2521",NA,4.4,42,FALSE,"1492 Dundas Street E",13293.5466936021,"https://www.yelp.com/biz/bread-and-salt-afghan-cuisine-mississauga?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"wO4MrIgDITkgsdUZZtd2Hw","Sahibi Kabob and Shawarma","sahibi-kabob-and-shawarma-scarborough","Halal, Afghan",43.7228744,-79.2879093822091,"+1 416-285-9999",NA,0,0,FALSE,"69 Lebovic Avenue",13810.5734554513,"https://www.yelp.com/biz/sahibi-kabob-and-shawarma-scarborough?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"8pJnxLwrosp1m-AkZs_V0Q","Mazadar","mazadar-toronto","Afghan",43.6664947885561,-79.3170488253236,"+1 416-463-1111",NA,4.2,5,FALSE,"1606 Queen St E",8778.43472213335,"https://www.yelp.com/biz/mazadar-toronto?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"VtQIAj8eXvHqc_8MtMMGwg","Afghan Cuisine","afghan-cuisine-toronto","Afghan",43.70805,-79.34294,"+1 416-422-5858","$$",3.7,69,FALSE,"66 Overlea Boulevard",9430.13626475276,"https://www.yelp.com/biz/afghan-cuisine-toronto?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"gux90wIQvVtASKoOloE8dA","Kabob Khana","kabob-khana-toronto","Afghan, Burgers",43.6823681518815,-79.3293617,"",NA,0,0,FALSE,"1328 Danforth Avenue",8522.4587145089,"https://www.yelp.com/biz/kabob-khana-toronto?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"5B_YKWtJthJqmD5MYw2maA","Hot Pot Cafe","hot-pot-cafe-toronto-3","Middle Eastern, Halal, Afghan",43.6862154,-79.3112465,"+1 647-349-9399","$",4,8,FALSE,"2134 Danforth Avenue",10010.6667027145,"https://www.yelp.com/biz/hot-pot-cafe-toronto-3?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"6GmAkVMAnY6NSxfWGDCvQA","Q Tikka","q-tikka-mississauga","Middle Eastern, Syrian, Afghan",43.58034,-79.61464,"+1 437-422-5244",NA,0,0,FALSE,"2580 Shepard Avenue",17104.7562554209,"https://www.yelp.com/biz/q-tikka-mississauga?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"ytYP2UXkRow2L3emGp469w","Afghan Kebob Cuisine","afghan-kebob-cuisine-toronto","Afghan",43.7160486,-79.5556858,"+1 416-546-4238","$",3.6,16,FALSE,"2298A Islington Avenue",13295.5835386138,"https://www.yelp.com/biz/afghan-kebob-cuisine-toronto?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"dRWobPpzRcnARWb99xlAQA","Queen Subs","queen-subs-toronto","Sandwiches, Afghan",43.6557667,-79.3647247,"+1 416-220-0109",NA,0,0,FALSE,"344 Queen Street E",4765.90629880915,"https://www.yelp.com/biz/queen-subs-toronto?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"sqj18NheItQq-PR9c4uM4g","Kandahar Kabab","kandahar-kabab-toronto-2","Afghan",43.7051458823459,-79.3486794388337,"+1 416-422-0606",NA,2.7,44,FALSE,"45 Overlea Blvd",8889.14633179435,"https://www.yelp.com/biz/kandahar-kabab-toronto-2?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"neQiXqHXlDx2q_fDXetaug","Naan Kabob Modern Afghan Kitchen","naan-kabob-modern-afghan-kitchen-mississauga","Afghan, Kebab",43.65114,-79.60477,"+1 905-282-9797",NA,4.6,9,FALSE,"5042 Satellite Drive",14700.9091286212,"https://www.yelp.com/biz/naan-kabob-modern-afghan-kitchen-mississauga?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"fmPl4IK9gi2HdxeFuzRqjA","Afghan Palace","afghan-palace-toronto","Afghan",43.6716805,-79.3250961,"+1 416-834-3433","$$$$",1,2,FALSE,"1330 Gerrard Street",8333.08308619441,"https://www.yelp.com/biz/afghan-palace-toronto?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"jsMDbYZVaw9g0_FmsS17bA","Grill N Thrill Kabob","grill-n-thrill-kabob-toronto","Food Trucks, Afghan, Burgers",43.6617953687539,-79.3977532641196,"+1 647-701-2595",NA,2.3,3,FALSE,"80 St George Street",2678.00427264036,"https://www.yelp.com/biz/grill-n-thrill-kabob-toronto?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"V-aweI6rrw8d6MfG1lAPjw","Little Kabul Kabob","little-kabul-kabob-toronto-2","Afghan",43.7146088321063,-79.5687001462575,"+1 416-741-2323",NA,4.1,9,FALSE,"2068 Kipling Avenue",14065.8443170417,"https://www.yelp.com/biz/little-kabul-kabob-toronto-2?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"TgjLGtUexuR7wctaEEpHuQ","Amin Foodmart Halal Meat Afghan Bakery","amin-foodmart-halal-meat-afghan-bakery-toronto","Butcher, Afghan, Bakeries",43.7141919561343,-79.5581489056349,"+1 416-744-0585",NA,5,2,FALSE,"26 Rexdale Blvd",13336.7630808184,"https://www.yelp.com/biz/amin-foodmart-halal-meat-afghan-bakery-toronto?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
"NaVcN9YCeO3xBCt86YcHGw","Al Barakat Supermarket & Restaurant","al-barakat-supermarket-and-restaurant-toronto-2","International Grocery, Afghan, Bakeries",43.7452368,-79.2967366,"+1 416-285-4443",NA,0,0,FALSE,"2008 Lawrence Avenue E",14994.8357567533,"https://www.yelp.com/biz/al-barakat-supermarket-and-restaurant-toronto-2?adjust_creative=56H5C-3bdIDaASm-5F4Amw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=56H5C-3bdIDaASm-5F4Amw"
